station_id,station_name,so_many,one_or_two,none,lines_served
17700,"Grant Av",12,11,4,"A"
17921,"Great Kills",2,5,12,"SIR"
17670,"116 St",0,11,2,"A C B"
17920,"Eltingville",2,4,16,"SIR"
17924,"New Dorp",2,4,16,"SIR"
17549,"116 St",6,18,9,"2 3"
17759,"Sutphin Blvd",4,5,4,"E F"
17927,"Dongan Hills",1,2,9,"SIR"
17666,"155 St",4,10,7,"A C"
17724,"Bedford Park Blvd",4,14,9,"B D"
17847,"Montrose Av",5,3,4,"L"
17919,"Annadale",2,0,12,"SIR"
17922,"Bay Terrace",0,1,11,"SIR"
17932,"Tompkinsville",0,1,11,"SIR"
17767,"York St",8,11,10,"A F"
17872,"Bowery",4,7,6,"J Z"
17796,"Northern Blvd",3,6,5,"E F M R"
20053,"Hoyt-Schermerhorn Sts",19,37,32,"A C G"
17728,"Tremont Av",11,9,12,"B D"
17726,"Fordham Rd",11,17,18,"B D"
17689,"Franklin Av",7,17,16,"S A C"
17907,"59 St",12,30,28,"N R W"
20024,"3 Av-149 St",28,20,32,"2 5"
17546,"149 St - Grand Concourse",34,35,47,"2 4 5"
20055,"Kingston-Throop Avs",10,9,13,"A C"
17730,"170 St",8,8,11,"B D"
17727,"182-183 Sts",2,9,8,"B D"
17725,"Kingsbridge Rd",7,12,14,"B D"
17794,"Elmhurst Av",7,5,9,"E F M R"
17909,"77 St",1,7,6,"R"
17732,"155 St",4,5,7,"B D"
17809,"Classon Av",3,6,7,"G"
17737,"Grand St",11,12,18,"B D"
17692,"Utica Av",20,29,39,"A C"
17733,"7 Av",29,41,56,"E B D"
17766,"East Broadway",9,11,16,"A F"
17852,"Halsey St",5,10,12,"L"
17620,"125 St",27,45,58,"4 5 6"
20063,"Kew Gardens-Union Tpke",14,37,42,"E F"
17570,"Nostrand Av",1,5,5,"2 3 4 5"
17602,"Pelham Bay Park",2,5,6,"6"
17699,"Euclid Av",13,15,24,"A C"
17497,"181 St",14,2,14,"1"
17567,"Beverly Rd",0,8,7,"2 5"
23295,"Christopher St-Stonewall",4,4,7,"1 2"
17499,"157 St",3,6,8,"1"
17636,"Broadway-Lafayette St / Bleecker St",31,51,73,"4 6 A B D F M"
17506,"96 St",11,29,36,"1 2 3"
17765,"Delancey St / Essex St",19,31,45,"A F M J Z"
17631,"33 St",6,15,19,"4 6"
17638,"Canal St",34,44,71,"4 6 J Z N Q R W"
17647,"Jackson Hts-Roosevelt Av / 74 St",61,101,149,"7 E F M R"
17690,"Nostrand Av",15,22,34,"A C"
17621,"116 St",4,10,13,"4 6"
17878,"Bay Pkwy",9,6,14,"N W"
17615,"E 149 St",6,11,16,"6"
17518,"14 St / 6 Av",24,55,76,"1 2 3 F M L"
17634,"14 St - Union Sq",64,90,148,"4 5 6 L N Q R W"
17495,"Dyckman St",3,4,7,"1"
17516,"23 St",2,3,5,"1 2"
17553,"Wall St",3,5,8,"2 3"
17562,"Franklin Av / Botanic Garden",12,21,33,"S 2 3 4 5"
17565,"Winthrop St",4,7,11,"2 5"
17586,"Fordham Rd",5,12,17,"4"
17589,"176 St",4,2,6,"4"
17595,"Wall St",5,4,9,"4 5"
17612,"Whitlock Av",5,0,5,"6"
17613,"Hunts Point Av",15,25,40,"6"
17618,"Brook Av",2,3,5,"6"
17693,"Ralph Av",5,4,9,"A C"
17731,"167 St",5,11,16,"B D"
17850,"DeKalb Av",4,5,9,"L"
17876,"18 Av",2,6,8,"N W"
20058,"Norwood-205 St",3,6,9,"D"
20067,"Sutphin Blvd-Archer Av-JFK Airport",21,48,69,"E J Z"
20069,"Forest Hills-71 Av",15,31,47,"E F M R"
17498,"168 St - Washington Hts",15,19,35,"1 A C"
17681,"W 4 St - Wash Sq",23,47,73,"A C E B D F M"
20057,"21 St-Queensbridge",6,7,14,"F M"
17685,"Jay St - MetroTech",40,57,105,"A C F N Q R W"
17558,"Atlantic Av-Barclays Ctr",52,81,145,"2 3 4 5 B D N Q R W"
17851,"Myrtle - Wyckoff Avs",10,23,36,"M L"
17843,"1 Av",5,14,21,"L"
20071,"Grand Av-Newtown",7,12,21,"E F M R"
